round,red_bloon_equivalent,money_popping_max,money_total,money_cumulative,description
1,12,12,112,112,12 Red
2,25,25,124,236,25 Red
3,34,34,132,368,"5 Blue, 24 Red"
4,58,58,155,523,"24 Blue, 10 Red"
5,80,80,176,699,"25 Blue, 30 Red"
6,45,45,140,839,15 Green
7,150,150,224,1063,75 Blue
8,210,210,303,1366,"70 Blue, 70 Red"
9,145,145,237,1603,"15 Green, 50 Blue"
10,105,105,196,1799,35 Green
11,60,60,150,1949,15 Yellow
12,137,137,226,2175,"3 Yellow, 25 Green, 25 Blue"
13,274,274,362,2537,"28 Green, 75 Blue, 40 Red"
14,112,112,199,2636,28 Yellow
15,240,240,326,2962,"60 Green, 30 Blue"
16,365,365,448,3410,"75 Green, 70 Blue"
17,415,415,499,3809,"45 Green, 140 Blue"
18,243,243,326,4135,"27 Yellow, 25 Green, 30 Blue"
19,270,270,352,4487,90 Green
20,264,264,345,4832,"48 Yellow, 24 Green"
21,415,415,495,5327,"35 Yellow, 85 Green, 10 Blue"
22,180,180,259,5586,45 Yellow
23,361,361,439,6025,"64 Yellow, 35 Green"
24,378,378,455,6480,"42 Yellow, 50 Green, 30 Blue"
25,422,422,498,6978,"53 Yellow, 70 Green"
26,340,340,415,7393,85 Yellow
27,180,180,254,7647,20 Black
28,355,335,428,8075,"55 Yellow, 45 Green"
29,671,671,743,8818,"125 Yellow, 19 Black"
30,750,750,821,9639,250 Green
31,428,428,498,10137,"27 Black, 55 Green, 10 Blue"
32,362,362,431,10568,"23 Black, 20 Yellow, 25 Green"
33,600,600,668,11236,150 Yellow
34,470,470,537,11773,"25 Black, 35 Yellow, 35 Green"
35,695,695,761,12534,"110 Yellow, 85 Green"
36,775,775,840,13374,"35 Black, 115 Yellow"
37,531,531,595,13969,59 Black
38,880,880,943,14912,220 Yellow
39,860,860,922,15834,"40 Black, 50 Yellow, 50 Green, 50 Blue, 50 Red"
40,720,720,781,16615,80 Black
41,540,540,600,17215,"40 White, 20 Black"
42,740,740,799,18014,"30 White, 30 Black, 20 White"
43,1500,1500,1558,19572,"40 White, 60 Black, 150 Yellow"
44,1080,1080,1137,20709,120 Black
45,1080,1080,1136,21845,120 White
46,1316,1316,1371,23216,"60 Black, 60 White, 59 Yellow"
47,1306,1306,1360,24576,"40 White, 70 Black, 79 Yellow"
48,1720,1720,1773,26349,"80 White, 80 Black, 70 Yellow"
49,1746,1746,1798,28147,"70 White, 80 Black, 99 Yellow"
50,1791,1791,1791,29938,"100 White, 99 Black"
